lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
manidooke,3s - conj,manidooked,/manidooke-/,,third_person_singular,,conjunct,,FALSE,FALSE
manidooke,3s - ch-conj,menidooked,/manidooke-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
booch,,booch,,,,,,,FALSE,FALSE
booch,,booch igo,,,,,,,FALSE,FALSE
geget,,geget,,,,,,,FALSE,FALSE
mazaanag,dim,mazaanens,/mazaan-/,,,,,,TRUE,FALSE
mazaanag,loc,mazaaning,/mazaan-/,,,,,,FALSE,TRUE
aanikegamaa,0s - ind,aanikegamaa,/aanikegamaa-/,,singular_inanimate,,independent,,FALSE,FALSE
aanikegamaa,0s - conj,aanikegamaag,/aanikegamaa-/,,singular_inanimate,,conjunct,,FALSE,FALSE
aanikegamaa,0s - ch-conj,ayaanikegamaag,/aanikegamaa-/,,singular_inanimate,,changed_conjunct,,FALSE,FALSE
aanikegamaa,0s - ind - aug,aanikegamaamagad,/aanikegamaa-/,,singular_inanimate,,independent,,FALSE,FALSE
biiwaabiko-zagapijigan,sg,biiwaabiko-zagapijigan,/biiwaabiko-zagapijigan-/,,,,,singular,FALSE,FALSE
biiwaabiko-zagapijigan,pl,biiwaabiko-zagapijiganan,/biiwaabiko-zagapijigan-/,,,,,plural,FALSE,FALSE
apabiwin,sg,apabiwin,/apabiwin-/,,,,,singular,FALSE,FALSE
apabiwin,pl,apabiwinan,/apabiwin-/,,,,,plural,FALSE,FALSE
apabiwin,dim,apabiwinens,/apabiwin-/,,,,,,TRUE,FALSE
apabiwin,loc,apabiwining,/apabiwin-/,,,,,,FALSE,TRUE
apabiwin,pej,apabiwinish,/apabiwin-/,,,,,,FALSE,FALSE
eshpabid,pl,eshpabijig,,,,,,plural,FALSE,FALSE
minikwaajigan,sg,minikwaajigan,/minikwaajigan-/,,,,,singular,FALSE,FALSE
minikwaajigan,pl,minikwaajiganan,/minikwaajigan-/,,,,,plural,FALSE,FALSE
minikwaajigan,dim,minikwaajigaans,/minikwaajigan-/,,,,,,TRUE,FALSE
minikwaajigan,loc,minikwaajiganing,/minikwaajigan-/,,,,,,FALSE,TRUE
minikwaajigan,pej,minikwaajiganish,/minikwaajigan-/,,,,,,FALSE,FALSE
aanzinaagozi,1s - ind,indaanzinaagoz,/aanzinaagozi-/,,first_person_singular,,independent,,FALSE,FALSE
aanzinaagozi,1s - ind,nindaanzinaagoz,/aanzinaagozi-/,,first_person_singular,,independent,,FALSE,FALSE
aanzinaagozi,1s - ind,nidaanzinaagoz,/aanzinaagozi-/,,first_person_singular,,independent,,FALSE,FALSE
aanzinaagozi,3s - ind,aanzinaagozi,/aanzinaagozi-/,,third_person_singular,,independent,,FALSE,FALSE
aanzinaagozi,3s - conj,aanzinaagozid,/aanzinaagozi-/,,third_person_singular,,conjunct,,FALSE,FALSE
aanzinaagozi,3s - ch-conj,ayaanzinaagozid,/aanzinaagozi-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
wabigamaa,0s - ind,wabigamaa,/wabigamaa-/,,singular_inanimate,,independent,,FALSE,FALSE
wabigamaa,0s - conj,wabigamaag,/wabigamaa-/,,singular_inanimate,,conjunct,,FALSE,FALSE
wabigamaa,0s - ch-conj,webigamaag,/wabigamaa-/,,singular_inanimate,,changed_conjunct,,FALSE,FALSE
wabigamaa,0s - ind - aug,wabigamaamagad,/wabigamaa-/,,singular_inanimate,,independent,,FALSE,FALSE
gagiipizi,1s - ind,ingagiipiz,/gagiipizi-/,,first_person_singular,,independent,,FALSE,FALSE
gagiipizi,1s - ind,ningagiipiz,/gagiipizi-/,,first_person_singular,,independent,,FALSE,FALSE
